               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066184,            0.029367,            0.021751,             0.79018,             0.48666,             0.48853,             0.23368,            0.040547,              0.0145,            0.010324,           0.0033313,           0.0033313,            0.070018
                   1,            0.047023,             0.01938,            0.010649,             0.83671,             0.52799,             0.53137,             0.27278,            0.035237,            0.012963,           0.0069276,           0.0066633,           0.0066633,            0.040017
                   2,            0.044008,            0.018524,           0.0096725,             0.66971,             0.59712,             0.61548,             0.31261,            0.037221,            0.012888,           0.0069991,           0.0099901,           0.0099901,            0.010011
                   3,            0.041354,            0.019354,            0.009479,             0.66446,             0.59392,             0.61547,             0.33424,            0.032618,            0.012916,           0.0062409,           0.0099822,           0.0099822,           0.0099822
                   4,            0.038745,            0.019432,           0.0087477,             0.78168,             0.62966,             0.68527,             0.38651,            0.030565,            0.012419,           0.0056496,           0.0099822,           0.0099822,           0.0099822
                   5,            0.036863,            0.018447,           0.0081258,             0.83557,             0.63076,             0.69899,             0.39422,            0.029757,            0.012062,           0.0050703,           0.0099685,           0.0099685,           0.0099685
                   6,            0.035816,            0.018486,           0.0076971,             0.71865,             0.71816,             0.73814,             0.43163,            0.028712,            0.011853,           0.0051528,           0.0099508,           0.0099508,           0.0099508
                   7,            0.034503,            0.017776,           0.0074953,             0.74977,             0.72891,             0.75718,             0.44285,            0.027934,            0.011531,           0.0045785,           0.0099291,           0.0099291,           0.0099291
                   8,            0.034418,            0.018114,           0.0073086,             0.75503,             0.72804,             0.74525,             0.42409,            0.027923,            0.011839,           0.0047812,           0.0099037,           0.0099037,           0.0099037
                   9,            0.033929,            0.017544,           0.0071034,             0.74684,             0.73056,             0.74225,             0.41663,            0.028409,            0.011577,           0.0045625,           0.0098743,           0.0098743,           0.0098743
                  10,            0.033174,            0.017254,           0.0069684,             0.79586,             0.76885,             0.79002,             0.45723,            0.027168,            0.011326,           0.0045084,           0.0098412,           0.0098412,           0.0098412
                  11,            0.032433,             0.01722,           0.0063309,             0.76587,             0.78466,             0.79768,             0.47876,             0.02662,            0.011211,           0.0037424,           0.0098042,           0.0098042,           0.0098042
                  12,            0.032107,            0.016944,           0.0065703,             0.75183,             0.79471,             0.76118,             0.44789,            0.026904,            0.011281,           0.0041234,           0.0097635,           0.0097635,           0.0097635
                  13,            0.031951,            0.016961,           0.0060587,             0.77362,             0.82104,             0.81535,             0.49235,            0.026019,            0.011007,           0.0035527,           0.0097191,           0.0097191,           0.0097191
                  14,            0.031454,            0.016569,           0.0063297,             0.80312,             0.81277,             0.82412,             0.49296,            0.026296,            0.011053,           0.0036283,            0.009671,            0.009671,            0.009671
